,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
418,1,0,0,2,1,2,0,0,13,6
419,3,0,0,4,1,0,0,0,35,6
420,2,4,0,4,1,0,0,0,45,6
421,2,0,0,0,1,0,0,1,36,6
422,2,0,0,0,1,1,0,1,20,6
423,2,0,0,0,1,0,0,1,57,6
424,2,2,0,4,1,1,0,0,71,1
425,1,4,0,4,1,2,0,1,9,6
426,2,4,0,2,1,0,1,1,17,3
427,2,2,0,2,1,0,0,1,19,6
428,3,4,0,4,1,0,0,1,38,5
429,1,4,0,4,1,2,0,1,8,6
430,2,0,0,4,1,0,0,1,44,2
431,2,0,0,4,1,0,0,1,38,6
432,2,0,0,2,1,0,0,1,48,3
433,2,4,0,4,1,0,0,0,31,6
434,6,0,0,1,1,0,0,0,62,6
435,2,3,0,2,1,0,0,1,22,6
436,2,3,0,2,1,0,0,1,58,6
437,1,4,0,2,1,2,0,0,36,6
438,2,0,0,4,1,0,0,1,36,5
439,2,0,0,4,1,0,0,1,28,6
440,2,0,0,4,1,0,0,1,24,6
441,2,0,0,4,1,1,0,0,24,6
442,1,0,0,2,1,2,0,1,30,1
443,2,4,0,4,1,0,0,1,28,6
444,3,4,0,4,1,0,0,1,25,6
445,3,4,0,4,1,0,0,1,35,6
446,1,4,0,4,1,2,0,1,10,6
447,1,4,0,2,1,2,0,1,23,6
448,1,0,0,4,1,0,1,1,60,3
449,1,4,0,4,1,2,0,1,9,1
450,1,4,0,4,1,2,0,1,7,1
451,5,0,0,4,1,0,0,0,39,6
452,1,4,0,2,1,2,0,0,23,6
453,1,4,0,4,1,2,0,1,20,1
454,1,4,0,4,1,1,0,0,46,1
455,2,4,4,4,5,0,0,1,28,3
456,2,4,4,2,1,0,0,1,27,6
457,2,4,4,4,5,0,0,0,33,6
458,2,4,4,4,5,1,0,0,8,6
459,2,4,0,4,1,0,0,1,23,6
460,2,4,0,4,1,0,0,1,40,6
461,2,4,0,4,1,1,0,1,20,6
462,2,4,4,2,5,0,0,0,24,5
463,2,0,4,2,0,0,0,1,46,5
464,2,4,4,2,1,0,0,1,24,6
465,2,4,4,2,1,1,0,1,25,6
466,2,4,4,2,1,1,0,1,19,6
467,1,0,0,4,8,1,0,0,83,1
468,1,4,0,4,1,1,0,0,63,1
469,2,0,0,4,1,0,0,0,56,6
470,2,0,0,4,1,0,0,1,33,2
471,1,4,0,4,1,2,1,0,14,6
472,2,4,0,4,1,1,0,1,25,6
473,2,4,0,4,1,1,0,1,26,6
474,3,0,4,4,7,0,0,0,18,6
475,3,0,4,4,7,1,0,0,19,6
476,1,0,0,4,1,2,0,1,14,6
477,2,0,0,4,1,0,0,1,47,3
478,2,2,0,1,1,0,0,1,37,6
479,1,4,0,4,1,1,0,1,25,1
480,1,0,0,4,1,2,1,1,15,6
481,3,0,0,4,1,0,0,1,39,6
482,3,0,0,4,1,0,0,1,28,6
483,3,0,0,4,1,1,0,1,19,6
484,1,4,0,4,1,2,0,0,51,2
485,1,4,0,4,1,2,0,0,1,2
486,2,0,0,4,1,0,0,0,19,6
487,2,0,0,4,1,0,0,1,44,2
488,1,4,0,4,1,2,0,0,17,2
489,2,2,0,4,1,0,0,1,49,6
490,2,2,0,4,1,1,0,0,7,6
491,2,2,0,4,1,1,0,0,4,6
492,3,4,0,4,1,0,0,1,20,4
493,2,4,0,4,1,0,0,1,8,5
494,2,4,0,4,1,0,0,1,48,6
495,2,4,0,4,1,1,0,1,25,6
496,2,0,0,4,1,0,1,1,22,3
497,2,0,0,4,1,1,1,0,20,3
498,2,0,0,4,1,1,0,1,81,1
499,1,4,4,4,1,2,0,0,12,6
500,2,0,0,1,1,0,1,1,56,3
501,2,0,0,4,1,0,0,1,31,6
502,2,0,0,4,1,0,0,1,32,6
503,2,1,0,2,1,0,0,1,46,6
504,2,1,0,2,1,1,0,0,36,6
505,1,4,0,4,1,2,0,0,19,1
506,2,4,0,4,1,0,0,0,55,6
507,2,4,0,4,1,1,0,0,24,6
508,2,4,0,4,1,0,0,1,18,3
509,2,3,0,0,1,0,1,1,78,6
510,2,0,0,4,1,1,0,0,18,1
511,1,4,0,4,1,2,1,1,63,1
512,2,2,0,2,1,0,0,1,28,6
513,2,2,0,2,1,0,0,1,34,6
514,1,0,0,4,1,1,0,0,45,1
515,1,0,0,4,1,1,0,0,66,1
516,1,0,0,1,1,0,0,1,33,6
517,2,0,0,2,1,0,0,1,40,6
518,1,4,0,4,1,2,0,0,64,6
519,2,0,0,4,1,0,0,1,41,5
520,1,4,0,4,1,2,0,0,19,1
521,1,4,0,4,1,2,0,1,21,6
522,1,0,0,4,1,2,0,1,17,6
523,1,4,0,2,1,2,0,0,12,6
524,2,3,0,4,1,0,0,1,28,6
525,2,3,0,4,1,1,0,1,43,6
526,2,0,0,4,1,0,1,0,61,6
527,2,0,0,4,1,0,0,1,87,6
528,2,0,0,4,1,0,0,1,53,6
529,2,0,0,4,1,0,0,1,25,6
530,2,0,0,4,1,1,0,1,20,6
531,2,0,0,4,1,0,0,0,58,6
532,2,0,0,4,1,0,0,1,37,1
533,2,0,0,4,1,1,0,1,50,1
534,3,4,0,2,1,0,0,0,25,6
535,2,0,0,4,1,1,0,0,19,6
536,1,4,0,4,1,1,1,0,85,1
537,2,0,0,4,1,0,0,1,21,6
538,2,0,0,4,1,1,0,0,17,6
539,2,4,0,2,1,0,0,1,27,6
540,2,4,0,4,1,0,0,1,72,6
541,2,4,0,4,1,0,0,0,69,6
542,2,4,0,4,1,0,0,0,42,6
543,2,0,0,4,1,0,0,0,24,6
544,2,4,0,0,0,0,0,1,30,6
545,2,4,0,0,0,0,0,0,20,6
546,2,4,0,0,0,1,0,1,26,6
547,2,4,0,4,1,0,0,0,18,6
548,2,0,0,4,0,1,0,0,73,6
549,2,0,0,4,1,0,0,1,53,3
550,2,2,0,4,1,0,0,1,43,3
551,2,2,0,2,1,0,0,1,20,5
552,3,2,0,4,1,0,0,0,24,6
553,3,2,0,4,1,1,0,0,2,6
554,2,0,0,4,1,0,0,0,36,6
555,2,0,0,4,1,0,0,1,37,6
556,2,0,0,4,1,0,0,0,40,6
557,1,4,0,2,1,0,0,0,41,6
558,2,0,0,4,1,0,0,0,44,6
559,2,0,0,2,1,0,0,1,29,6
560,2,0,0,2,1,1,0,0,22,6
561,1,0,0,2,1,0,0,1,51,3
562,1,0,0,2,1,2,1,1,16,3
563,3,0,0,4,1,0,0,1,29,6
564,3,0,0,4,1,0,0,1,59,2
565,2,4,0,4,1,0,0,1,65,5
566,2,4,0,4,1,0,1,1,38,5
567,1,0,0,4,1,0,1,1,29,3
568,1,4,0,4,1,2,1,1,14,6
569,1,0,0,4,1,2,0,0,26,6
570,2,4,0,4,1,2,0,0,87,6
571,1,2,0,4,1,2,0,0,12,6
572,1,2,0,4,1,2,0,0,12,6
573,7,0,0,4,1,0,0,1,21,6
574,7,0,0,4,1,1,0,0,18,6
575,7,0,0,4,1,0,0,0,19,6
576,7,0,0,4,1,0,0,1,35,6
577,7,0,0,4,1,0,0,0,37,6
578,7,0,0,4,1,1,0,1,20,6
579,1,4,0,2,1,2,1,0,11,6
580,3,3,0,4,1,0,0,1,29,2
581,2,0,0,2,1,0,0,1,62,6
582,2,4,0,4,1,0,0,0,41,6
583,2,4,0,2,1,0,0,1,20,3
584,2,0,0,4,1,0,0,0,65,5
585,2,0,0,4,1,0,0,0,19,6
586,2,0,0,4,1,0,0,1,19,2
587,2,0,0,4,1,0,0,0,38,6
588,2,0,0,4,1,0,0,0,19,6
589,1,3,0,0,1,0,1,1,28,6
590,1,4,0,2,1,0,0,1,31,6
591,2,4,0,4,1,0,0,1,33,3
592,2,4,0,4,1,0,0,1,28,6
593,2,4,0,4,1,0,0,0,56,6
594,2,4,0,4,1,0,0,1,19,5
595,2,4,0,2,1,0,0,1,23,6
596,2,4,0,2,1,0,0,0,44,6
597,2,4,0,2,1,1,0,0,22,6
598,4,3,0,4,1,0,0,0,27,6
599,4,3,0,4,1,0,0,1,38,6
600,4,3,0,4,1,0,0,1,38,6
601,2,4,0,4,1,1,0,1,31,6
602,2,0,0,4,1,0,1,1,17,3
603,2,4,0,4,1,0,1,1,47,5
604,1,4,0,1,1,1,0,1,28,1
605,2,0,0,4,1,0,0,0,19,3
606,2,1,0,4,1,0,0,1,58,6
607,1,0,0,4,1,1,0,0,47,1
608,2,0,0,4,1,0,0,0,19,6
609,2,4,0,4,1,0,0,1,30,6
610,2,4,0,4,1,0,0,1,25,6
611,1,4,0,1,1,1,1,1,21,6
612,1,4,0,1,1,1,0,1,22,4
613,1,4,0,1,1,1,0,1,22,4
614,3,0,0,4,1,0,0,0,19,6
615,3,0,0,4,1,0,0,1,65,6
616,2,4,0,2,1,0,0,1,41,6
